Code,Nom,Population
1,Bas-Saint-Laurent,197044
2,Saguenay–Lac-Saint-Jean,277444
3,Capitale-Nationale,755326
4,Mauricie–Centre-du-Québec,520797
5,Estrie,491813
6,Montréal,2065694
7,Outaouais,397673
8,Abitibi-Témiscamingue,147869
9,Côte-Nord,90035
10,Nord-du-Québec,13798
11,Gaspésie–Îles-de-la-Madeleine,90077
12,Chaudière-Appalaches,429660
13,Laval,441534
14,Lanaudière,517496
15,Laurentides,624386
16,Montérégie,1418904
17,Nunavik,14103
18,Terres-Cries-de-la-Baie-James,18336
