Province,Morts,Rétablis,Confirmés
NL,3,219,258
PE,0,24,27
NS,28,439,935
NB,0,111,118
QC,1761,3068,26594
ON,1082,8525,16187
MB,6,199,273
SK,6,288,383
AB,87,1549,5165
BC,109,1137,2087
YT,0,8,11
NT,0,5,5
NU,0,0,0
Canadiens rapatriés,0,0,13
Somme Totale,3082,15572,52056
