Nom,Population
Bas-Saint-Laurent,197044
Saguenay–Lac-Saint-Jean,277444
Capitale-Nationale,755326
Mauricie–Centre-du-Québec,520797
Estrie,491813
Montréal,2065694
Outaouais,397673
Abitibi-Témiscamingue,147869
Côte-Nord,90035
Nord-du-Québec,13798
Gaspésie–Îles-de-la-Madeleine,90077
Chaudière-Appalaches,429660
Laval,441534
Lanaudière,517496
Laurentides,624386
Montérégie,1418904
Nunavik,14103
Terres-Cries-de-la-Baie-James,18336
